,제목,글쓴이,출판사,ISBN,출간연도,줄거리,출판사 서평,crawling
0,우리 아기 알록달록 색깔 촉감책,스텔라 배곳,어스본코리아,9791190896337,2022,우리 아기 두뇌와 감각을 발달시키는 들춰 보는 플랩 놀이  다양한 촉감 놀이책  빨강 주황 노랑 초록 파랑 등 가지 색깔을 만나 보세요 빨간색 딸기와 토마토 주황색 호박과 당근 초록색 수박과 개구리 보라색 고래와 산호 분홍색 토끼와 케이크 등 가지 색깔을 알록달록한 동물과 식물을 통해 알 수 있지요 아기자기한 그림을 보며 손가락으로 올록볼록한 질감과 다양한 촉감 면을 만져 보세요 크고 작은 플랩을 열며 숨어 있는 동물과 사물 그림을 찾고 까꿍 놀이도 해 보아요 부드럽게 뚫린 구멍에는 손가락을 쏙쏙 넣어 즐거움도 느낄 수 있답니다   아기와 함께 이렇게 놀아 주세요  아기의 손으로 오돌토돌하고 보들보들한 다양한 촉감 면을 만지면 두뇌가 자극돼요  알록달록한 색감과 무늬가 더해진 사물과 동물 그림이 아기의 시각 발달을 도와요  의성어와 의태어를 이용하여 간단한 장면을 설명하며 주의를 집중시켜 주세요  동물이나 사물의 움직임과 소리를 담은 다양하고 재밌는 의성어 의태어가 언어 감각을 키워 줘요  책 속 물음을 따라 플랩을 열고 까꿍 놀이를 하며 상상력과 창의력이 길러져요  크고 작은 플랩을 열어 보며 손 조작 능력과 소근육이 발달되고 집중력도 길러져요  책을 여러 번 반복해서 보면서 새로운 이야기를 만들어 들려주고 아기의 반응에 섬세하게 반응해 주면 즐거운 책놀이를 즐길 수 있어요,,0~3세
1,안녕 내 친구 코야 감각 자극 오감 발달 아기 헝겊책,작은북,블루래빗,9791135203114,2021,코는 삑삑 날개는 바스락 몸은 보들보들 귀는 미끈 몸 구석구석에 재미있는 소리와 질감이 숨어 있어 다양한 감각을 자극할 수 있는 아기 헝겊책이에요 저마다 촉감이 다른 다양한 소재의 천이 촉각을 밝고 대비가 강한 색을 사용한 단순한 그림이 시각을 삑삑삑 딸랑딸랑 바스락바스락 소리가 청각을 자극하지요 손잡이 역할까지 하는 귀와 눈을 맞출 수 있는 거울 해님 연약한 잇몸에도 안전한 치발기 달린 꼬리 요리조리 움직이며 이야기를 완성할 수 있는 끈 달린 나비 인형까지 몸 구석구석이 놀이의 요소로 가득하답니다 아기 코끼리 코야의 하루를 담은 이야기는 짧고 단순해서 아기에게 보여 주기에 알맞아요 본문은  면 소재를 사용해 부드럽고 위생적이며 손잡이가 있는 비닐 가방에 들어 있어 깨끗하게 보관할 수 있어요 어린이제품안전특별법에 명시된 각종 유해성 검사를 통과한  인증 제품입니다  아기의 뇌발달에 좋아요 아기는 생후 한 살까지 전체 신경 회로의  정도가 만 세 살까지 가 완성됩니다 이 신경 회로는 뇌가 자극을 받을 때마다 신경 세포가 새로운 가지를 뻗음으로써 생성되지요 따라서 이 시기에 부모와의 피부 접촉 대화 책읽기 감각 놀이 등 감각 기능을 발달시키는 활동은 초기 뇌 발달에 매우 중요합니다 감각자극 오감발달 아기 헝겊책 아기 코끼리 코야는 풍부한 감각 자극으로 아기의 뇌 발달을 촉진할 수 있는 생애 첫 놀이책이에요  친절한 팁 이렇게 놀아 주세요 책을 보여 준다는 것은 부모님과 아기가 나눌 수 있는 즐거운 경험을 만드는 일이에요 부모님의 다정한 목소리와 웃음 체취 속에서 경험한 책읽기는 평생 간직할 소중한 자산이 된답니다 패키지에 실린 이렇게 놀아 주세요를 보고 아기와 함께 책 놀이를 시작하세요 간단하지만 말귀도 못 알아듣는 아기에게 어떻게 책을 보여 주어야 할지 어리둥절한 초보 부모님께는 살뜰한 정보가 될 거예요,,0~3세
2,시원한 바닷가 사운드북우리 아기 오감발달보드북  ,샘 태플린,어스본코리아,8809264181768,2021,시원한 바닷바람과 짭조름한 바다 내음이 전해지는  생생한 바다의 소리를 들어보세요  청각과 언어 감각 시각과 촉각을 기르는 만능 사운드북  철썩철썩 파도치는 바닷가에는 누가 살고 있을까요 갈매기가 산들바람을 타고 끼룩끼룩 바다 위를 날고 돌고래가 끼오끼오 기분 좋은 휘파람 소리를 내요 먼 바다에서 뱃고동이 부웅 울리고 물고기가 물밖으로 뛰어 올랐다가 다시 물속으로 참방 뛰어들지요 파도가 쏴아쏴아 해변을 살랑살랑 어루만지는 바다를 눈과 귀로 느낄 수 있어요 알록달록 선명한 그림에 초점을 맞추고 그림 모양을 따라 얕게 파인 홈을 손가락으로 따라가며 촉감을 느끼고 구멍 속으로 다음 장면에 나올 동물과 사물을 들여다보고 찾을 수도 있어요 아기와 함께 다양한 놀이를 즐겨 보세요,,0~3세
3,우정 그림책,하이케 팔러,사계절,9791160947151,2021,모든 우정은 잠시 지나가든  평생 이어지든 애정으로 끝나든  불신으로 끝나든 구할 가치가 있다   인생 그림책 두 작가가 전하는 우정의 세계  우리는 얼마나 먼 길을 같이 온 걸까  모든 우정에 깃든 수많은 순간을 말하다  세부터 세까지 흘러가는 인생의 순간들을 장면으로 담아냈던  인생 그림책 간결하고 담백한 글과 형형색색 감각적인 그림으로 모두의 마음을 사로잡은  인생 그림책의 두 작가 하이케 팔러와 발레리오 비달리의 신작이 나왔다 이번에는 우정이다 전작에서는 인생의 순간들을 시간의 흐름에 따라 보여주었다면 이 작품에서는 우정이라는 관계성을 더욱 깊이 있게 다룬다 우정이란 누구에게나 있지만 누구에게나 같은 모습은 아닌 법 하이케 팔러는 이번에도 남녀노소 다양한 사람을 만나 인터뷰하고 그들의 이야기를 들었다 뮌헨에서부터 뉴욕을 지나 타슈켄트와 바젤에 이르기까지 그래서일까 책 속의 문장들은 모든 우정들을 관통하며 이어진다 전부 다른 모습의 관계일지라도 누구나 한 번쯤은 겪거나 느껴 보았을 장면들을 촘촘하게 엮었다  화가들이 사랑하는 화가 발레리오 비달리의 그림은 그런 우정의 세계를 한층 더 넓혀준다 작가의 글을 직관적으로 보여주다가도 일순간 기발한 위트와 해석으로 더 풍부한 독서를 가능하게 한다 어떤 장면에서는 따로 또 같이 친구와 함께했던 나만의 순간들이 떠오를 것이다 그것은 저마다 다른 우정을 이야기하는 이 책에 꼭 맞는 방식이기도 하다 기대감이 잔뜩 올라왔다면 이제 책을 펼쳐서 떠나 보자 서로 다른 두 사람이 만드는 복잡하고 미묘한 우정의 세계로,가장 가깝고도 아주 먼 사이 친구 다채롭게 빛나는 우정의 순간들  우리는 좋든 싫든 타인과 관계를 맺고 살아간다 그중 일부는 한두 번 보고 멀어지기도 하지만 어떤 이들과는 친구가 된다 그 누구보다 친밀하다가도 이런저런 이유로 멀어지기도 하고 가끔은 질투를 하면서도 서로 조금씩 닮아가는 사이 이 책 또한 그런 관계들 사이에서 시작되었다 친구의 생일 파티에 간 작가가 다양한 사람들을 만났고 파티의 손님이었던 두 친구와 함께 걸으며 우정에 대해 생각한 것이다 자신과 새 친구들이 어떻게 서로에게 친밀감을 느낄 수 있었는지 이 우정은 얼마나 오래 지속될지 더 많은 이들의 이야기를 담기 위해 작가는 우정 사슬을 만들었다 친구의 친구를 만나고 또 그 친구의 친구도 만나다 보니 우정사슬에는 스무 명이 넘는 사람들이 들어섰고 금세 지구를 세 바퀴쯤 돌게 되었다 그 수많은 친구들의 이야기를 꼭꼭 담은 이 책은 우정을 애써 근사한 말로 포장하지 않았다 마치 친구와 이야기하듯 꾸밈없는 감정들이 이어진다 친구의 무관심에 느꼈던 서운함 밤새 비밀 얘기를 주고받던 어느 밤 함께하는 것만으로도 내 안에서 뭔가 스르르 풀렸던 날의 풍경들 그런 장면들은 아주 소소하지만 구체적인 공감을 자아낸다 이를테면 함께한 시간이 우정의 깊이와 비례하지는 않는다는 점이나 어떤 특정한 상황에 만났기 때문에 친구가 될 수 있었다는 고백들처럼 언젠가부터 우정이라는 단어가 낯간지럽게 느껴졌을지도 모른다 하지만 솔직하고 섬세하게 우정을 말하는 이 책은 그런 단어 속에 가둬 두었던 원초적인 감정까지도 불러일으킨다 그건 즐거움이나 그리움 상처 혹은 아쉬움일수도 있다 책장을 한 장씩 넘길 때마다 마치 속마음을 들킨 것처럼 다양한 울림이 전해진다 이제 작가는 독자인 우리에게도 우정사슬을 건넨다 나의 우정 이야기를 꺼낼 차례다  나의 인연에게 전하는 안부 소중한 이들을 되돌아보는 그림책  두 작가는 전작에서처럼 이번에도 자연스럽게 독자를 책속으로 이끈다 과감하고 감각적이면서도 위트 있는 그림은 장면마다 다른 인물을 조명한다 성별 인종 체형이 전부 다른 대상들을 보며 우리는 이 이야기가 우리의 삶에서도 이어지고 있음을 느낄 수 있다 작가의 말에는 우정을 친밀한 연애로 묘사한 대목이 있다 어떻게 설명할 수 없는 동질감의 빛에 사로잡힌 만남이라는 것 때로는 무심코 우연이라 여기기도 하지만 사실 모든 만남은 은하수라는 까마득한 별무리 수많은 별과 수많은 사람들 가운데서 서로를 찾아낸 것이다 이 책은 시작부터 그 이야기를 건네며 기적과도 같은 인연에 대해 말한다 저마다 관계의 모습은 전부 다를지라도 잠시 잠깐 내 옆의 사람들을 살피며 서로의 만남을 되돌아보아도 좋겠다,0~3세
4,뽀로로 쉑쉑 사운드북 바나나차차,키즈아이콘,키즈아이콘,8809644081121,2021,뽀롱뽀롱 뽀로로 쉑쉑 사운드북 바나나차차는 미니북을 보며 딸랑이를 흔들흔들 우리 아기도 쉑쉑 사운드북으로 바나나 차차 쉑쉑 사운드바는 어린이 제품 안전 검사에서 세 아이들도 사용할 수 있는 안전 검사를 통과한 안전한 사운드 북이다,,0~3세
5,응가안녕,유애순,길벗어린이,9788955825763,2020,부모와 아기의 마음을 이어 주는 즐거운 책 읽기 둥둥 아기 그림책 시리즈 우아 예쁜 똥이 나왔네 사랑스러운 아기와 아기 곰이 함께하는 응가 놀이 책  아가야 응가 체조 하고 예쁜 똥 누자 배변 훈련을 시작하는 아기들을 위한 그림책  배가 꾸르륵 꾸르륵 방귀가 뿌우우웅 뿡뿡 몸에서 응가 신호가 오자 아기의 얼굴이 발갛게 물들었어요 그런데 아기는 변기에서 응가하는 일이 아직 많이 낯설고 힘든가 봐요 응가하기 싫다며 고개를 휙 돌리는 아기에게 엄마가 응가 체조 하는 법을 알려 주자 아기는 어느새 체조의 재미에 흠뻑 빠져 즐겁게 따라 합니다 그리고 다시 응가 신호를 느낀 아기는 이번엔 참지 않고 후다닥 변기로 달려가 끄응 힘을 주고 멋지게 응가하지요 예쁜 똥이 나왔다며 똥에게 반갑게 인사도 해요 응가 안녕은 기저귀 대신 변기와 친해져야 하는 아기들을 위한 배변 훈련 그림책입니다 배변 훈련의 전 과정을 하나의 재미있는 놀이처럼 보여 주는 이 책은 응가 체조를 통해 아기가 놀면서 쉽게 배변 훈련을 하고 예쁜 똥을 눌 수 있게 도와줍니다 사랑스러운 아기의 첫 변기 사용을 응원하는 귀여운 아기 곰의 행복한 응가 시간을 따라가 보세요,놀면서 익히는 배변 훈련 재미있고 상쾌해서 더 즐거운 응가 놀이  변의를 느꼈을 때 적절한 장소나 시간에 바르게 배변하는 법을 학습하는 배변 훈련은 아기들이 꼭 거쳐야 하는 발달 단계 중 하나입니다 이때 실수했다고 야단치거나 조급한 마음으로 서두를 경우 아기는 배변 자체를 부정적인 것으로 인식해 응가를 거부하거나 화장실 가는 것이 두려워 똥을 참는 수가 있습니다 아기가 배변 훈련에 성공하려면 똥이 마렵다고 느꼈을 때 화장실로 가서 변을 보고 시원하다고 느끼는 일련의 단계를 분리하지 않고 한 번에 쭉 연결되는 경험이 중요합니다 이 같은 경험이 반복되면 아기는 이 상황들을 스스로 인지하고 몇 번의 성공을 통해 더욱더 자신감을 갖게 되지요  응가 안녕은 아기와 부모가 부담 없이 배변 훈련을 하고 아기가 배변 활동의 전 과정을 한꺼번에 경험할 수 있도록 놀이 형식으로 재미있게 접근하는 방법을 알려 줍니다 응가하기 전 준비 운동처럼 몸을 움직이는 응가 체조는 아기의 호기심을 유발하여 자연스럽게 몸놀이로 이끌어 주는 역할을 하며 마지막에 똥과 다정하게 작별 인사 하는 모습은 똥에 대한 친근감을 높여 줍니다 재미있게 책을 읽고 그저 잘 놀았을 뿐인데 아기는 어느새 혼자서도 응가를 잘하는 아이가 되어 있을 거예요  배 마사지 개구리 자세 엉덩이춤까지 시원한 응가를 돕는 응가 체조  서구화된 식습관과 변을 자주 참는 등 잘못된 배변 습관으로 인해 변비로 고생하는 아이들이 많습니다 골고루 잘 먹고 잘 노는 것만큼 중요한 것이 건강하게 잘 싸는 것이지요 이 책에는 응가를 잘 나오게 하는 유익한 체조 동작이 나와 있어요 배를 위아래로 꾹꾹 누르고 동글동글 동그라미를 그리며 마사지하고 개구리처럼 다리를 접고 앉고 엉덩이를 쑥 내밀고 실룩실룩 흔들지요 마사지를 하면 긴장이 풀리고 장이 자극을 받아 변비를 해결하는 데 도움을 줍니다 또 개구리처럼 쪼그려 앉으면 복압이 쉽게 올라가면서 항문이 열리기 때문에 한결 편하게 배변할 수 있지요 엄마 아빠랑 아기가 함께 손을 맞잡고 개구리 자세로 놀다 보면 자연스레 배변 운동이 되지요 왼쪽 오른쪽으로 엉덩이를 흔드는 엉덩이춤 또한 다른 동작들처럼 장을 자극해 쾌변을 돕습니다 신나게 몸을 움직이기 때문에 기분까지 덩달아 좋게 만들어 주지요 긴장을 푸는 배 마사지 배변에 편안한 개구리 자세 재미있는 엉덩이춤까지 아기랑 함께 책 속에 나오는 동작을 하나하나 따라 해 보세요 건강하고 예쁜 똥이 쑥쑥 나올 거예요  재미난 의성어 의태어와 함께하는 말놀이  엄마 아빠가 하는 말과 주변 사물의 이름을 익히며 조금씩 언어를 배우기 시작하는 아기들에게 소리와 모양을 흉내 내는 다양한 의성어와 의태어를 접하게 해 주면 아기의 언어 발달을 자극할 뿐 아니라 표현력을 기르는 데 큰 도움을 줍니다 응가 안녕에는 입말이 살아 있고 리듬감이 풍부한 의성어와 의태어가 많이 등장합니다 뿡뿡 방귀를 뀌고 꾹꾹 배를 누르고 폴짝폴짝 뛰고 실룩실룩 엉덩이를 흔들고 쑥쑥 똥이 나오는 등 재미난 표현들이 가득하지요 또한 의성어와 의태어 낱말 위에 그 말의 특징을 그림으로 깜찍하게 그려 놓아 소리와 모양이 눈앞에 그려지는 느낌을 주기도 합니다 책에 나오는 여러 의성어와 의태어를 온몸으로 흉내 내면서 크게 소리 내어 말하고 또 말의 느낌을 그림으로도 표현해 보며 노는 사이 아기들은 낱말의 뜻을 쉽게 알아 가고 오래 기억할 수 있습니다  또한 이 책의 그림은 파스텔 톤의 따뜻한 색감에 세밀한 묘사가 포근한 분위기를 자아냅니다 아기와 아기 곰의 생김새와 표정 다양한 체조 동작이 귀엽고 섬세해 볼수록 사랑스러운 그림책입니다 운율을 살려 간결하게 쓴 글과 포근한 그림과 함께 아기랑 즐거운 말놀이 신나는 응가 체조를 해 보세요,0~3세
6,재밌다 스티커북 만 세 세트 전권,이현주,블루래빗,9791135202254,2020,재밌다 스티커북 시리즈는 재밌다  유아 학습의 시작은 빠르게 빠르게  결코 속도가 중요하지 않아요  재밌다 스티커북 시리즈는 아이가 스티커를 붙이면서 집중력과 관찰력 창의력을 경험하며 자연스럽게 놀이하듯 차근차근 알아가는 재미를 느낄 수 있습니다  만세 재밌다    스티커북 세트 활용법 스티커를 처음 붙이는 만 세의 유아에게는 스티커를 붙이는 자체가 의미있는 활동입니다 소근육을 활용하여 스스로 붙이는 것만으로도 두뇌가 충분히 자극되기 때문입니다 이러한 과정을 거치면서 소근육과 두뇌가 점차 정교하게 발달하게 됩니다 정해진 자리에 반듯하게 붙이지 못한다고 해서 조바심을 내거나 아이가 붙인 스티커를 떼서 올바른 자리에 다시 붙이는 행동보다는 스티커를 붙이는 활동 자체를 기뻐하고 칭찬해 주세요,,0~3세
7,아기 초점책 세트 전권,편집부,애플비북스,9788967817701,2020,갓 태어난 아기를 위한 초점책 세트로 총 권으로 구성되어 있습니다   초점 생후 개월 아기의 시각 발달을 재촉하고 초점을 또렷하게 해 주기 위한 책입니다 명암이 뚜렷한 흑백 패턴을 이용해 아기의 눈에 알맞은 자극을 줍니다 두꺼운 용지를 천으로 연결해 병풍처럼 펼칠 수 있는 새로운 형태의 책으로 한 장씩 펼치며 보여 주거나 누워 있는 아기 주위에 세워 놓을 수 있습니다   색모양 생후 개월 이후 본격적인 시각색감 개발을 위한 책입니다 한 면에는 검은색과 주목성이 강한 색으로 된 패턴을 다른 한 면에는 강한 색과 기본 도형만을 이용해 만든 단순한 형태를 실었습니다 그리고 반짝이는 홀로그램으로 포인트를 주어 아기들의 시선을 더욱 쉽게 끕니다 역시 두꺼운 용지를 사용해 병풍 형태로 제작했습니다   누구일까 생후 개월 이후 아기를 위한 얼굴책입니다 단순한 선과 밝은 색으로 표현된 사람과 동물의 웃는 얼굴로 시각적 변별력을 키우고 정서적 만족감을 줍니다 그림 아래에는 큰 글자로 이름이 씌어 있어 유아기까지 볼 수 있습니다 일반적인 형태의 보드북입니다   무엇일까 생후 개월 이후 아기를 위한 사물 인지책입니다 아기에게 친근한 사물들을 골라 특징을 명확하고 단순하게 표현했습니다 단순한 선과 밝은 색이 세련되게 어울려 색감을 발달시키며 모든 사물에는 이름이 있다는 것을 배우게 됩니다 일반적인 형태의 보드북입니다,,0~3세
8,우리 아기 오감발달 칙칙폭폭 기차 사운드북,샘 태플린,어스본코리아,8809264181409,2020,멋진 증기 기관 기차는 어떤 소리를 내며 달릴까요  청각과 언어 감각을 기르는 흥미진진한 이야기 사운드북   귀여운 친구 포피와 샘을 따라 힘찬 소리를 내는 기차를 만나요  오늘은 포피와 샘이 처음으로 증기 기관 기차를 타는 날이에요 서둘러 기차역에 가서 친구들과 칙칙폭폭 기차에 올라탔어요 삐이이익 역무원 아저씨가 호루라기를 불자 덜컹 덜컹 덜커덩 기차가 조금씩 빨리 달리기 시작합니다 그런데 갑자기 기차가 속도를 줄이더니 끼이이익 멈췄어요 고장 난 기차가 도움을 받는 동안 포피와 샘과 친구들은 농장에서 음매 하고 우는 소들과 뛰어 놀지요 그사이 하얀 말 돌리가 와서 고장 난 기차를 끌고 가 줍니다 따그닥 따그닥 히잉 덕분에 기차는 무사히 기차역으로 돌아왔답니다   흥미로운 이야기와 생생한 사운드로 아기의 청각과 언어 감각을 길러요  포피와 샘의 흥미진진한 기차 여행 이야기를 따라가면 덩달아 신이 나 이야기에 몰입하게 될 거예요 기차가 내는 다양한 소리부터 소와 말 강아지 등 여러 동물들의 울음소리까지 생생하고 입체적인 사운드를 들어볼 수 있어요 아기의 청각 발달에 도움을 주고 호기심과 집중력을 높여 주지요 또한 이야기와 의성어를 익히며 언어 감각도 쑥쑥 자란답니다,,0~3세
9,한글홈스쿨 만 세 세트 전권,편집부,삼성출판사,8809607286891,2020,한글 홈스쿨과 함께 하는 홈스쿨 성공 비법 가지     단계별 학습    단계별로 하나씩이라는 슬로건 하에 연령별 단계별로 학습하세요 한글 홈스쿨은 만세부터 만세까지 아이의 발달과정과 흥미를 반영한 주제로 치밀하게 커리큘럼을 설계했어요 주일에 한 권씩 쉽고 간편하게 주면 달라집니다  아이 스스로 풀어요  홈스쿨은 아이 스스로 풀고 알아서 공부해야 성공합니다 책을 보는 것도 앉아있는 것도 어려운 아이들도 집중시키는 재미있고 다양한 문제 유형만으로 구성했어요 이제 아이가 놀이처럼 스스로 풀고 스스로 집중하게 하세요  끝낼 때마다 실력 쌓기  홈스쿨 성공의 마지막 비결은 꾸준함 한 권 두 권 끝낼 때마다 쌓이는 성취감이 아이의 자신감을 이끌어내요 한 권 한 권 끝내며 꾸준히 학습하다보면 어느 새 연령별 한글 마스터  한글 홈스쿨 내지 미리보기  학습 효과를 높이는 인터페이스  간결한 지시문으로 아이가 문제를 쉽게 이해해요 한눈에 문제가 들어오는 인터페이스의 디자인과 선명한 일러스트로 이해를 높여요  놀이처럼 학습하는 다양한 활동  따라 쓰기 스티커 붙이기 색칠하기 미로 찾기 숨은 그림 찾기까지 한 장씩 놀이처럼 공부하며 저절로 한글을 익혀요  학습효과를 높이는 디테일  아이 손에 딱 맞게 연령별로 스티커 크기를 설계하고 손 힘이 약한 아이도 술술 잘 쓸 수 있는 고급 용지를 선택했어요 세계 각국의 일러스트레이터들과 협업한 그림은 아이의 눈을 사로잡죠 책 뒤에 포함된 상장으로 성취감을 높여요,,0~3세
